Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Remarks,Highest-From-Entry-To-Exit,Lowest-From-Entry-To-Exit
1,01-01-2018,,09:25:00,25563.7,,,,,01-01-2018,,15:19:00,25321,-147.75,,,Exit Condition Met For Trade,25574.25,25292.7
1.1,01-01-2018,Monday,09:25:00,99.15,15,CE,25600,Sell,01-01-2018,Monday,15:19:00,43,842.25,56.63136662,04-01-2018,Exit Condition Met For Trade,101,39.7
1.2,01-01-2018,Monday,09:25:00,151.35,15,PE,25600,Sell,01-01-2018,Monday,15:01:00,217.35,-990,-43.60753221,04-01-2018,Stop Loss Hit,243.75,142
2,02-01-2018,,09:25:00,25330.65,,,,,02-01-2018,,15:19:00,25347.2,603,,,Exit Condition Met For Trade,25377.4,25232.8
2.1,02-01-2018,Tuesday,09:25:00,134.25,15,CE,25300,Sell,02-01-2018,Tuesday,15:19:00,106.35,418.5,20.78212291,04-01-2018,Exit Condition Met For Trade,151.3,76
2.2,02-01-2018,Tuesday,09:25:00,100,15,PE,25300,Sell,02-01-2018,Tuesday,15:19:00,87.7,184.5,12.3,04-01-2018,Exit Condition Met For Trade,147,72.15
3,03-01-2018,,09:25:00,25423.8,,,,,03-01-2018,,15:19:00,25318.45,348,,,Exit Condition Met For Trade,25441.4,25300.9
3.1,03-01-2018,Wednesday,09:25:00,86.05,15,CE,25400,Sell,03-01-2018,Wednesday,15:19:00,31.95,811.5,62.87042417,04-01-2018,Exit Condition Met For Trade,99,28.5
3.2,03-01-2018,Wednesday,09:25:00,72.5,15,PE,25400,Sell,03-01-2018,Wednesday,15:19:00,103.4,-463.5,-42.62068966,04-01-2018,Exit Condition Met For Trade,121.95,62.7
4,04-01-2018,,09:25:00,25333,,,,,04-01-2018,,15:19:00,25447.45,-413.25,,,Exit Condition Met For Trade,25488.65,25310.3
4.1,04-01-2018,Thursday,09:25:00,60.25,15,CE,25300,Sell,04-01-2018,Thursday,11:37:00,122.25,-930,-102.9045643,04-01-2018,Stop Loss Hit,131.5,47.25
4.2,04-01-2018,Thursday,09:25:00,34.5,15,PE,25300,Sell,04-01-2018,Thursday,15:19:00,0.05,516.75,99.85507246,04-01-2018,Exit Condition Met For Trade,35.2,0.05
5,05-01-2018,,09:25:00,25554.15,,,,,05-01-2018,,15:19:00,25604.25,344.25,,,Exit Condition Met For Trade,25619.65,25508.4
5.1,05-01-2018,Friday,09:25:00,105.6,15,CE,25600,Sell,05-01-2018,Friday,15:19:00,120.2,-219,-13.82575758,11-01-2018,Exit Condition Met For Trade,126.7,79.45
5.2,05-01-2018,Friday,09:25:00,163.5,15,PE,25600,Sell,05-01-2018,Friday,15:19:00,125.95,563.25,22.96636086,11-01-2018,Exit Condition Met For Trade,195.1,120.5
6,08-01-2018,,09:25:00,25723.45,,,,,08-01-2018,,15:19:00,25674.55,196.5,,,Exit Condition Met For Trade,25771.5,25658.85
6.1,08-01-2018,Monday,09:25:00,113.8,15,CE,25700,Sell,08-01-2018,Monday,15:19:00,105.05,131.25,7.688927944,11-01-2018,Exit Condition Met For Trade,144.25,98.75
6.2,08-01-2018,Monday,09:25:00,110.3,15,PE,25700,Sell,08-01-2018,Monday,15:19:00,105.95,65.25,3.943789665,11-01-2018,Exit Condition Met For Trade,120,88.55
7,09-01-2018,,09:25:00,25648.1,,,,,09-01-2018,,15:19:00,25701.25,105.75,,,Exit Condition Met For Trade,25731.7,25629.85
7.1,09-01-2018,Tuesday,09:25:00,116.3,15,CE,25600,Sell,09-01-2018,Tuesday,15:19:00,134,-265.5,-15.21926053,11-01-2018,Exit Condition Met For Trade,150.65,98.15
7.2,09-01-2018,Tuesday,09:25:00,79.25,15,PE,25600,Sell,09-01-2018,Tuesday,15:19:00,54.5,371.25,31.23028391,11-01-2018,Exit Condition Met For Trade,84.05,46.95
8,10-01-2018,,09:25:00,25666,,,,,10-01-2018,,15:19:00,25624.2,350.25,,,Exit Condition Met For Trade,25679.5,25527.5
8.1,10-01-2018,Wednesday,09:25:00,55.75,15,CE,25700,Sell,10-01-2018,Wednesday,15:19:00,24.8,464.25,55.51569507,11-01-2018,Exit Condition Met For Trade,56.25,17.65
8.2,10-01-2018,Wednesday,09:25:00,103.5,15,PE,25700,Sell,10-01-2018,Wednesday,15:19:00,111.1,-114,-7.342995169,11-01-2018,Exit Condition Met For Trade,165.3,99.55
9,11-01-2018,,09:25:00,25551.4,,,,,11-01-2018,,15:19:00,25659.3,696.75,,,Exit Condition Met For Trade,25694.65,25532.25
9.1,11-01-2018,Thursday,09:25:00,23.5,15,CE,25600,Sell,11-01-2018,Thursday,15:19:00,45.35,-327.75,-92.9787234,11-01-2018,Exit Condition Met For Trade,79,16.8
9.2,11-01-2018,Thursday,09:25:00,68.4,15,PE,25600,Sell,11-01-2018,Thursday,15:19:00,0.1,1024.5,99.85380117,11-01-2018,Exit Condition Met For Trade,74.7,0.05
10,12-01-2018,,09:25:00,25739.3,,,,,12-01-2018,,15:19:00,25745.2,-1095.75,,,Exit Condition Met For Trade,25775.15,25557.6
10.1,12-01-2018,Friday,09:25:00,123.9,15,CE,25700,Sell,12-01-2018,Friday,15:19:00,130,-91.5,-4.923325262,18-01-2018,Exit Condition Met For Trade,140,72.55
10.2,12-01-2018,Friday,09:25:00,109,15,PE,25700,Sell,12-01-2018,Friday,12:36:00,175.95,-1004.25,-61.42201835,18-01-2018,Stop Loss Hit,215.2,99.25
11,15-01-2018,,09:25:00,25883.4,,,,,15-01-2018,,15:19:00,26067.4,33.75,,,Exit Condition Met For Trade,26091.8,25882.15
11.1,15-01-2018,Monday,09:25:00,75.35,15,CE,25900,Sell,15-01-2018,Monday,11:15:00,150.35,-1125,-99.535501,18-01-2018,Stop Loss Hit,153,75.35
11.2,15-01-2018,Monday,09:25:00,137.8,15,PE,25900,Sell,15-01-2018,Monday,15:19:00,60.55,1158.75,56.05950653,18-01-2018,Exit Condition Met For Trade,138.4,57.45
12,16-01-2018,,09:25:00,26026.05,,,,,16-01-2018,,15:19:00,25970.75,436.5,,,Exit Condition Met For Trade,26089.9,25931.7
12.1,16-01-2018,Tuesday,09:25:00,104.85,15,CE,26000,Sell,16-01-2018,Tuesday,15:19:00,71.05,507,32.23652837,18-01-2018,Exit Condition Met For Trade,117.9,62.5
12.2,16-01-2018,Tuesday,09:25:00,103.25,15,PE,26000,Sell,16-01-2018,Tuesday,15:19:00,107.95,-70.5,-4.552058111,18-01-2018,Exit Condition Met For Trade,133.5,86
13,17-01-2018,,09:25:00,26029.85,,,,,17-01-2018,,15:19:00,26304.35,557.25,,,Exit Condition Met For Trade,26323.65,25922.3
13.1,17-01-2018,Wednesday,09:25:00,65.75,15,CE,26000,Sell,17-01-2018,Wednesday,13:49:00,113.75,-720,-73.00380228,18-01-2018,Stop Loss Hit,114.9,37.9
13.2,17-01-2018,Wednesday,09:25:00,94,15,PE,26000,Sell,17-01-2018,Wednesday,15:19:00,8.85,1277.25,90.58510638,18-01-2018,Exit Condition Met For Trade,138.9,7.65
14,18-01-2018,,09:25:00,26696.3,,,,,18-01-2018,,14:38:00,26615.05,-810,,,,26848.95,26584.65
