c1,c2,c26,c27,c28,c29,c30,c31,c32,c33,c39,c139,c142,c143,c155,c157,c158,c160,c161,c162,c163,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c19,c20,c21,c22,c23,c34,c35,c36,c52,c241
43344,2,493.7967645,104.5538708,41.18760074,290.9653403,14.37955205,71.7319905,48.67900503,-69.20340324,0.410096235,13.59906979,51.18535448,37,0,24,25.3,750,330,150,50,2.264965134,18.97888563,7.561194114,0.719496719,55.81639778,10.05576352,31.15550354,1.713008735,17.63442183,28.33470022,13.59906979,7.120964189,9.257514948,2.743170109,44.70346827,0.14746748,1.454650834,0.049850161,7.870520921,2.18408281
43345,2,493.6618891,104.5132056,41.58075234,290.6211899,14.31532307,78.59982,48.05741677,-69.41408086,0.409464993,13.16719296,53.25759315,37,0,23.9,24.2,800,350,150,50,2.260011181,20.87003313,7.844961777,0.702348357,55.81639778,9.966177938,33.0201132,2.586004248,18.63008675,28.21145298,13.16719296,7.79341316,9.218110051,2.596313896,43.97355714,0.225583385,1.457910021,0.049858777,7.897945414,2.233878895
43346,2,495.6449466,104.5024574,40.74457232,292.1524245,14.56618026,78.83245842,47.32058599,-69.64537808,0.410025293,12.6110313,52.05839466,37,0,23.5,24.7,750,370,150,50,2.085849933,20.78741,6.70839177,0.656798572,57.09576731,11.26348661,34.27495771,1.918476046,20.02124488,28.94906389,12.6110313,7.289157026,9.599612317,2.557700938,43.96617231,0.197136793,1.461919696,0.049647706,7.609317377,2.088296328
43347,2,494.3540408,104.4528708,40.28818137,292.6762294,14.605181,72.73662592,47.98045966,-69.45279412,0.410889234,14.83236743,49.13118521,37,0,24.1,26.6,750,320,150,50,2.258068759,19.49568297,7.239109988,0.66239398,55.78773983,9.744850146,32.51729579,1.48039267,19.22573033,33.96427447,14.83236743,7.958075836,9.436384933,2.897313633,43.15456926,0.168860801,1.490898515,0.049994589,8.09564858,2.089269843
43348,2,492.0513732,104.4885837,41.26669246,289.0174624,14.54892575,76.62106718,48.21729946,-69.34405718,0.411034391,15.94387344,51.18535448,37,0,23.5,25.3,800,290,150,50,2.252391909,20.11976577,7.257897984,0.689548505,56.22601698,10.45764664,33.9886179,1.15697091,19.87923225,36.7448172,15.94387344,8.757604769,9.954738936,2.917772399,43.04477753,0.244713741,1.473342796,0.049859538,7.739170705,2.096676343
43349,2,491.2304149,104.5097195,42.63592038,286.8438885,14.31608856,76.83934011,48.4328245,-69.24689515,0.411383991,15.08018626,51.83357959,37,0,24.4,23.9,730,290,150,50,2.23438414,19.85943018,7.498515834,0.746017549,56.83353731,10.4898533,33.57245399,1.100830985,19.23641272,31.30981284,15.08018626,8.774741578,9.756240723,2.929465357,44.68359,0.194406417,1.446506359,0.049859538,7.781164012,2.102196452
43350,2,493.0254831,104.4522118,41.96914449,289.358905,14.47511754,77.22903426,48.33145234,-69.29156727,0.409481503,14.64667895,51.78067805,37,0,24.4,23.2,730,295,150,50,2.331876726,19.44169809,7.70377337,0.718284662,55.51068321,9.779209701,33.38158391,1.293921014,19.83633342,31.51284043,14.64667895,7.919354692,9.602665814,3.472100699,44.59386157,0.19384033,1.468708123,0.051128374,7.845785243,2.147301598
43351,2,492.9835428,104.4789998,42.39755115,290.8423921,14.18896251,73.14101557,47.37011917,-69.62005861,0.410666598,12.65731576,49.62588972,37,0,24,26.9,770,300,150,80,2.1806572,19.87901917,5.241439578,0.643103589,55.78773983,9.892468937,32.67492398,0.797981765,19.10313305,35.45172851,12.65731576,8.006455189,10.16045769,3.176120989,43.71825861,0.1922592,1.422654974,0.049980158,6.975943209,2.107940587
43352,2,492.5621091,104.5310103,43.21701311,290.110218,14.11880961,72.42022286,47.36808899,-69.59749707,0.410671926,12.41597612,50.38311705,37,0,24,24.8,730,320,150,40,2.304234283,19.28346471,5.810958048,0.621732529,55.70056964,10.02361264,30.67822496,1.013679033,17.58877462,32.37605363,12.41597612,8.360789632,9.63714501,3.00284226,43.7117505,0.233875524,1.43392739,0.049994589,7.15104838,2.12945038
43353,2,493.8725262,104.5807173,43.00113021,291.980606,14.21164615,73.24145634,47.38106238,-69.59481068,0.410865786,11.63707827,50.65739942,37,0,23.5,25.5,730,280,150,40,1.884810498,19.73986719,7.026148,0.639166257,55.81639778,9.64999299,30.38521613,1.034582625,19.03575573,31.04460481,11.63707827,7.214561218,8.811883329,2.855636327,42.98083317,0.292845197,1.418510262,0.049980158,7.333465704,2.128197528
